poison_type,poison_level,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,training_time,num_poisoned,accuracy_degradation,accuracy_degradation_pct
none,0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.003507375717163086,0,,
random_noise,5,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0027141571044921875,6,0.0,0.0
random_noise,10,0.9833333333333333,0.9,0.9023569023569024,0.9,0.8997493734335839,0.0017032623291015625,12,0.033333333333333326,3.5714285714285707
random_noise,50,0.9416666666666667,0.8333333333333334,0.8498168498168498,0.8333333333333334,0.8294970161977834,0.0023336410522460938,60,0.09999999999999998,10.714285714285712
label_flip,5,0.9833333333333333,0.8333333333333334,0.8425925925925927,0.8333333333333334,0.8341307814992026,0.001417398452758789,6,0.09999999999999998,10.714285714285712
label_flip,10,0.925,0.9333333333333333,0.9393939393939393,0.9333333333333333,0.9312169312169313,0.002729177474975586,12,0.0,0.0
label_flip,50,0.7416666666666667,0.6,0.55,0.6,0.5527472527472527,0.0015392303466796875,60,0.33333333333333337,35.714285714285715
